,0,1,2,3,4,5,6,7,8,9
Mad Love (1995),Mad Love (1995),Shopping (1994),Overnight Delivery (1996),Kissed (1996),Dream for an Insomniac (1996),Purple Noon (1960),Heavy (1995),Cyclo (1995),Booty Call (1997),Suture (1993)
Universal Soldier (1992),Universal Soldier (1992),Timecop (1994),Judge Dredd (1995),Stargate (1994),Demolition Man (1993),Predator 2 (1990),"Lawnmower Man, The (1992)",Starship Troopers (1997),No Escape (1994),Lost in Space (1998)
Species II (1998),Species II (1998),Species (1995),Virus (1999),Gremlins 2: The New Batch (1990),"Rage: Carrie 2, The (1999)",Vampires (1998),Deep Rising (1998),"Faculty, The (1998)",Alien: Resurrection (1997),Judge Dredd (1995)
Swimming with Sharks (1995),Swimming with Sharks (1995),Glengarry Glen Ross (1992),Flirting With Disaster (1996),Trees Lounge (1996),Spanking the Monkey (1994),"Limey, The (1999)",Red Rock West (1992),Bottle Rocket (1996),Zero Effect (1998),Gridlock'd (1997)
"Big Hit, The (1998)","Big Hit, The (1998)","Replacement Killers, The (1998)",Drop Dead Fred (1991),Jury Duty (1995),Fair Game (1995),Money Talks (1997),"Corruptor, The (1999)","Cowboy Way, The (1994)",Striking Distance (1993),Gremlins 2: The New Batch (1990)
Lost & Found (1999),Lost & Found (1999),It Takes Two (1995),I Love Trouble (1994),"Evening Star, The (1996)",Gang Related (1997),Terminal Velocity (1994),Kissing a Fool (1998),Forces of Nature (1999),Picture Perfect (1997),For Richer or Poorer (1997)
Pushing Tin (1999),Pushing Tin (1999),Romy and Michele's High School Reunion (1997),"General's Daughter, The (1999)",Entrapment (1999),Pacific Heights (1990),Never Been Kissed (1999),"Thomas Crown Affair, The (1999)",American Pie (1999),Austin Powers: The Spy Who Shagged Me (1999),"Bone Collector, The (1999)"
Black Dog (1998),Black Dog (1998),Braddock: Missing in Action III (1988),Terminal Velocity (1994),Money Talks (1997),Maximum Risk (1996),Missing in Action (1984),Judgment Night (1993),Blown Away (1994),Boiling Point (1993),Striking Distance (1993)
Suicide Kings (1997),Suicide Kings (1997),"Crush, The (1993)",So I Married an Axe Murderer (1993),Trees Lounge (1996),Kids (1995),Four Rooms (1995),True Romance (1993),"Myth of Fingerprints, The (1997)",Rounders (1998),Falling Down (1993)
"Prophecy, The (1995)","Prophecy, The (1995)",In the Mouth of Madness (1995),Lord of Illusions (1995),Phantoms (1998),Candyman (1992),"Craft, The (1996)",Damien: Omen II (1978),Poltergeist II: The Other Side (1986),Tales from the Darkside: The Movie (1990),"Prophecy II, The (1998)"
Tales from the Hood (1995),Tales from the Hood (1995),Child's Play (1988),"Craft, The (1996)",Candyman (1992),Freddy's Dead: The Final Nightmare (1991),Bride of Chucky (1998),Friday the 13th: The Final Chapter (1984),Sleepwalkers (1992),Pet Sematary (1989),Tales from the Darkside: The Movie (1990)
Instinct (1999),Instinct (1999),Entrapment (1999),"General's Daughter, The (1999)","Bone Collector, The (1999)",Lake Placid (1999),End of Days (1999),Double Jeopardy (1999),Stir of Echoes (1999),Stigmata (1999),Hard Rain (1998)
Village of the Damned (1995),Village of the Damned (1995),"Fly II, The (1989)",Phantoms (1998),Return of the Fly (1959),Phantasm (1979),"Guardian, The (1990)",It Came from Outer Space (1953),"Flying Saucer, The (1950)",Swamp Thing (1982),"Blob, The (1958)"
In the Mouth of Madness (1995),In the Mouth of Madness (1995),"Prophecy, The (1995)",Phantoms (1998),"Gate, The (1987)",Lord of Illusions (1995),Sleepwalkers (1992),Phantasm IV: Oblivion (1998),Psycho III (1986),April Fool's Day (1986),Candyman (1992)
Something to Talk About (1995),Something to Talk About (1995),Hope Floats (1998),Picture Perfect (1997),Only You (1994),Benny & Joon (1993),Forces of Nature (1999),"War, The (1994)",Boys on the Side (1995),Mixed Nuts (1994),While You Were Sleeping (1995)
Species (1995),Species (1995),Species II (1998),Judge Dredd (1995),Alien: Resurrection (1997),Starship Troopers (1997),Event Horizon (1997),"Lawnmower Man, The (1992)","Fifth Element, The (1997)",Johnny Mnemonic (1995),Stargate (1994)
"Skulls, The (2000)","Skulls, The (2000)",Final Destination (2000),Gone in 60 Seconds (2000),"Replacements, The (2000)",Mission to Mars (2000),Coyote Ugly (2000),Shadow Conspiracy (1997),Reindeer Games (2000),Here on Earth (2000),"Beach, The (2000)"
Money Train (1995),Money Train (1995),"Substitute, The (1996)",Rambo III (1988),"Getaway, The (1994)",Boiling Point (1993),Rocky IV (1985),Bulletproof (1996),Terminal Velocity (1994),Fair Game (1995),Drop Zone (1994)
Sleepwalkers (1992),Sleepwalkers (1992),"Gate, The (1987)",Phantasm II (1988),Freddy's Dead: The Final Nightmare (1991),Creepshow 2 (1987),Amityville 3-D (1983),Psycho III (1986),Candyman (1992),Tales from the Darkside: The Movie (1990),Child's Play (1988)
Chill Factor (1999),Chill Factor (1999),Boiling Point (1993),Double Team (1997),Fled (1996),Firestorm (1998),Money Train (1995),Black Dog (1998),"Glimmer Man, The (1996)",Judgment Night (1993),"Getaway, The (1994)"
Blown Away (1994),Blown Away (1994),"Long Kiss Goodnight, The (1996)","Devil's Own, The (1997)",Striking Distance (1993),"Jackal, The (1997)","Saint, The (1997)",Eraser (1996),Terminal Velocity (1994),Chain Reaction (1996),Judgment Night (1993)
High Art (1998),High Art (1998),Night on Earth (1991),All Over Me (1997),Nowhere (1997),Go Fish (1994),Purple Noon (1960),My Own Private Idaho (1991),SubUrbia (1997),Bound (1996),Beautiful Girls (1996)
Stigmata (1999),Stigmata (1999),Stir of Echoes (1999),"Haunting, The (1999)","Astronaut's Wife, The (1999)","General's Daughter, The (1999)",Deep Blue Sea (1999),End of Days (1999),"Thomas Crown Affair, The (1999)",Sleepy Hollow (1999),Entrapment (1999)
Freddy's Dead: The Final Nightmare (1991),Freddy's Dead: The Final Nightmare (1991),Bride of Chucky (1998),Halloween: The Curse of Michael Myers (1995),Sleepwalkers (1992),Friday the 13th Part VIII: Jason Takes Manhattan (1989),Friday the 13th Part VI: Jason Lives (1986),Friday the 13th: The Final Chapter (1984),Friday the 13th Part VII: The New Blood (1988),Wes Craven's New Nightmare (1994),Candyman (1992)
I Love Trouble (1994),I Love Trouble (1994),Lost & Found (1999),Nothing But Trouble (1991),Picture Perfect (1997),Houseguest (1994),For Love or Money (1993),Fools Rush In (1997),With Honors (1994),Larger Than Life (1996),It Takes Two (1995)
Wes Craven's New Nightmare (1994),Wes Craven's New Nightmare (1994),Lord of Illusions (1995),Freddy's Dead: The Final Nightmare (1991),Bride of Re-Animator (1990),Candyman (1992),Halloween 5: The Revenge of Michael Myers (1989),Halloween III: Season of the Witch (1983),"Frighteners, The (1996)",Friday the 13th: The Final Chapter (1984),"Howling, The (1980)"
"Program, The (1993)","Program, The (1993)",Bulletproof (1996),Terminal Velocity (1994),Judgment Night (1993),House Party 2 (1991),Fled (1996),Play it to the Bone (1999),Metro (1997),Weekend at Bernie's (1989),Money Train (1995)
"Long Kiss Goodnight, The (1996)","Long Kiss Goodnight, The (1996)",Blown Away (1994),"Ghost and the Darkness, The (1996)",Breakdown (1997),"Peacemaker, The (1997)",Enemy of the State (1998),"Saint, The (1997)",Desperado (1995),Die Hard: With a Vengeance (1995),"Jackal, The (1997)"
Speechless (1994),Speechless (1994),First Knight (1995),Addicted to Love (1997),Michael (1996),Hope Floats (1998),Something to Talk About (1995),Only You (1994),It Could Happen to You (1994),I Love Trouble (1994),Message in a Bottle (1999)
Puppet Master III: Toulon's Revenge (1991),Puppet Master III: Toulon's Revenge (1991),Puppet Master II (1990),Puppet Master (1989),Puppet Master 5: The Final Chapter (1994),Child's Play (1988),Two Thousand Maniacs! (1964),Puppet Master 4 (1993),"Toxic Avenger, Part II, The (1989)",Hello Mary Lou: Prom Night II (1987),Phantasm II (1988)
Child's Play 2 (1990),Child's Play 2 (1990),Child's Play (1988),Friday the 13th Part VII: The New Blood (1988),Friday the 13th Part VI: Jason Lives (1986),Halloween 4: The Return of Michael Myers (1988),Friday the 13th Part VIII: Jason Takes Manhattan (1989),Halloween II (1981),Creepshow 2 (1987),Friday the 13th Part 2 (1981),Child's Play 3 (1992)
Child's Play 3 (1992),Child's Play 3 (1992),Halloween 5: The Revenge of Michael Myers (1989),Friday the 13th Part VIII: Jason Takes Manhattan (1989),Bride of Chucky (1998),Friday the 13th Part VI: Jason Lives (1986),Friday the 13th Part VII: The New Blood (1988),Friday the 13th Part 2 (1981),Child's Play 2 (1990),Halloween: The Curse of Michael Myers (1995),Fright Night Part II (1989)
Wolf (1994),Wolf (1994),Vampires (1998),"Relic, The (1997)",Prom Night (1980),Friday the 13th Part 2 (1981),"Fog, The (1980)",Bats (1999),"Craft, The (1996)","Howling, The (1980)",Puppet Master (1989)
Two if by Sea (1996),Two if by Sea (1996),For Richer or Poorer (1997),Sister Act 2: Back in the Habit (1993),My Giant (1998),"Barefoot Executive, The (1971)",D2: The Mighty Ducks (1994),Major Payne (1994),Made in America (1993),"Beautician and the Beast, The (1997)","Odd Couple II, The (1998)"
"Getaway, The (1994)","Getaway, The (1994)",Metro (1997),Money Train (1995),Terminal Velocity (1994),Sudden Death (1995),Bulletproof (1996),Striking Distance (1993),Another Stakeout (1993),"Specialist, The (1994)",Black Dog (1998)
Gremlins 2: The New Batch (1990),Gremlins 2: The New Batch (1990),Police Academy 4: Citizens on Patrol (1987),Police Academy 2: Their First Assignment (1985),Gremlins (1984),BASEketball (1998),Another Stakeout (1993),"Money Pit, The (1986)",Death Becomes Her (1992),Black Sheep (1996),Vegas Vacation (1997)
Swingers (1996),Swingers (1996),Dazed and Confused (1993),Grosse Pointe Blank (1997),Trainspotting (1996),So I Married an Axe Murderer (1993),Chasing Amy (1997),Austin Powers: International Man of Mystery (1997),There's Something About Mary (1998),"People vs. Larry Flynt, The (1996)",Quiz Show (1994)
From Dusk Till Dawn (1996),From Dusk Till Dawn (1996),Blade (1998),Natural Born Killers (1994),Army of Darkness (1993),Con Air (1997),"Fifth Element, The (1997)","Crow, The (1994)",Hot Shots! Part Deux (1993),Die Hard: With a Vengeance (1995),Mars Attacks! (1996)
Fair Game (1995),Fair Game (1995),Money Train (1995),Tough Guys (1986),"Associate, The (1996)",Wrongfully Accused (1998),"Big Hit, The (1998)","Quick and the Dead, The (1995)",Terminal Velocity (1994),Metro (1997),"Peacemaker, The (1997)"
Hellraiser: Bloodline (1996),Hellraiser: Bloodline (1996),Bride of Re-Animator (1990),Phantasm (1979),Pumpkinhead (1988),House II: The Second Story (1987),Child's Play (1988),"Craft, The (1996)",Lifeforce (1985),Child's Play 2 (1990),Puppet Master 5: The Final Chapter (1994)
Striking Distance (1993),Striking Distance (1993),Terminal Velocity (1994),Sudden Death (1995),Blown Away (1994),"Cowboy Way, The (1994)",Black Dog (1998),Angus (1995),Play it to the Bone (1999),Under Siege 2: Dark Territory (1995),Days of Thunder (1990)
Terminal Velocity (1994),Terminal Velocity (1994),Black Dog (1998),Money Talks (1997),Striking Distance (1993),Firestorm (1998),Another Stakeout (1993),"Program, The (1993)",Sudden Death (1995),Money Train (1995),Blown Away (1994)
Things to Do in Denver when You're Dead (1995),Things to Do in Denver when You're Dead (1995),Romeo Is Bleeding (1993),Mulholland Falls (1996),"Crossing Guard, The (1995)",Keys to Tulsa (1997),Basic Instinct (1992),U Turn (1997),Kiss of Death (1995),"Funeral, The (1996)",Night Falls on Manhattan (1997)
Judgment Night (1993),Judgment Night (1993),Black Dog (1998),Disturbing Behavior (1998),Terminal Velocity (1994),Blown Away (1994),"Program, The (1993)","Substitute, The (1996)",Striking Distance (1993),Chill Factor (1999),Money Talks (1997)
Nick of Time (1995),Nick of Time (1995),Turbulence (1997),Extreme Measures (1996),Blown Away (1994),Gremlins 2: The New Batch (1990),Desperate Measures (1998),"Long Kiss Goodnight, The (1996)",Needful Things (1993),Nothing to Lose (1994),Fallen (1998)
Disturbing Behavior (1998),Disturbing Behavior (1998),Urban Legend (1998),"Dark Half, The (1993)",Judgment Night (1993),Halloween III: Season of the Witch (1983),Play it to the Bone (1999),Gremlins 2: The New Batch (1990),Striking Distance (1993),Scream 2 (1997),Black Dog (1998)
Missing in Action (1984),Missing in Action (1984),Missing in Action 2: The Beginning (1985),Black Dog (1998),Rambo III (1988),Braddock: Missing in Action III (1988),Death Wish 3 (1985),Iron Eagle II (1988),Death Wish II (1982),Rambo: First Blood Part II (1985),Rocky IV (1985)
"Omega Code, The (1999)","Omega Code, The (1999)",Endurance (1998),Santa with Muscles (1996),Shopping (1994),Brenda Starr (1989),Four Days in September (1997),Mad Love (1995),Digimon: The Movie (2000),Steel (1997),Road Trip (2000)
"Dark Half, The (1993)","Dark Half, The (1993)",Child's Play (1988),Phantoms (1998),Child's Play 3 (1992),Hellraiser III: Hell on Earth (1992),Hello Mary Lou: Prom Night II (1987),Lord of Illusions (1995),King Kong Lives (1986),Friday the 13th Part 2 (1981),Disturbing Behavior (1998)
Tombstone (1993),Tombstone (1993),Saving Private Ryan (1998),Young Guns (1988),Rambo III (1988),Unforgiven (1992),Reservoir Dogs (1992),Three Amigos! (1986),Basic Instinct (1992),Rambo: First Blood Part II (1985),Clueless (1995)
Primal Fear (1996),Primal Fear (1996),"Firm, The (1993)",Kiss the Girls (1997),Casino (1995),"Devil's Advocate, The (1997)","Game, The (1997)",Ransom (1996),Fallen (1998),Enemy of the State (1998),Crimson Tide (1995)
Shopping (1994),Shopping (1994),Mad Love (1995),"Omega Code, The (1999)",Overnight Delivery (1996),Cats Don't Dance (1997),Snow Day (2000),Excess Baggage (1997),Best Men (1997),Terminal Velocity (1994),Judgment Night (1993)
L.A. Story (1991),L.A. Story (1991),Groundhog Day (1993),Grosse Pointe Blank (1997),Wayne's World (1992),Clueless (1995),"Hudsucker Proxy, The (1994)",Four Weddings and a Funeral (1994),"Breakfast Club, The (1985)",When Harry Met Sally... (1989),There's Something About Mary (1998)
Bats (1999),Bats (1999),Prom Night (1980),Cobra (1925),Surviving the Game (1994),Wolf (1994),Terminal Velocity (1994),Vampires (1998),Hellraiser III: Hell on Earth (1992),Child's Play 3 (1992),Hellbound: Hellraiser II (1988)
"Best Man, The (1999)","Best Man, The (1999)",Calendar Girl (1993),Queens Logic (1991),Born American (1986),Relative Fear (1994),Feast of July (1995),Music From Another Room (1998),Belizaire the Cajun (1986),Last Dance (1996),Trois (2000)
Bringing Out the Dead (1999),Bringing Out the Dead (1999),Phantoms (1998),Twilight (1998),"Limey, The (1999)","Terminator, The (1984)",Murder in the First (1995),Bullets Over Broadway (1994),"Fan, The (1996)",One False Move (1991),Home for the Holidays (1995)
"Quest, The (1996)","Quest, The (1996)",Sudden Death (1995),"Van, The (1996)","Sea Wolves, The (1980)",No Mercy (1986),Mortal Thoughts (1991),Metro (1997),"Glimmer Man, The (1996)",Double Team (1997),At First Sight (1999)
Footloose (1984),Footloose (1984),Steel Magnolias (1989),Flashdance (1983),Dirty Dancing (1987),Weird Science (1985),St. Elmo's Fire (1985),Freejack (1992),What About Bob? (1991),She-Devil (1989),Three Amigos! (1986)
Tie Me Up! Tie Me Down! (1990),Tie Me Up! Tie Me Down! (1990),Sirens (1994),True Romance (1993),Lolita (1997),Gothic (1986),Nowhere (1997),Violets Are Blue... (1986),Glengarry Glen Ross (1992),Poison Ivy (1992),Reservoir Dogs (1992)
Madonna: Truth or Dare (1991),Madonna: Truth or Dare (1991),Paris Is Burning (1990),"Crossing Guard, The (1995)","Doors, The (1991)",Basic Instinct (1992),Clockwatchers (1997),Crumb (1994),I Shot Andy Warhol (1996),Unzipped (1995),Trees Lounge (1996)
Pump Up the Volume (1990),Pump Up the Volume (1990),True Romance (1993),Philadelphia (1993),Searching for Bobby Fischer (1993),"Truman Show, The (1998)","People vs. Larry Flynt, The (1996)",Two Girls and a Guy (1997),Swingers (1996),Sirens (1994),"Three Musketeers, The (1993)"
Re-Animator (1985),Re-Animator (1985),Phantasm (1979),"Texas Chainsaw Massacre, The (1974)",Halloween (1978),"Howling, The (1980)","Fog, The (1980)",Carrie (1976),Psycho II (1983),Fright Night (1985),Something Wicked This Way Comes (1983)
Drugstore Cowboy (1989),Drugstore Cowboy (1989),Raging Bull (1980),"Sex, Lies, and Videotape (1989)",Reservoir Dogs (1992),Leaving Las Vegas (1995),"Sweet Hereafter, The (1997)",Do the Right Thing (1989),Sid and Nancy (1986),"Player, The (1992)",Blood Simple (1984)
St. Elmo's Fire (1985),St. Elmo's Fire (1985),Flashdance (1983),"Karate Kid, The (1984)",Porky's (1981),Splash (1984),Pretty in Pink (1986),"Color of Money, The (1986)",Peter's Friends (1992),Sleepless in Seattle (1993),Mommie Dearest (1981)
Carrie (1976),Carrie (1976),Halloween (1978),"Exorcist, The (1973)","Omen, The (1976)","Texas Chainsaw Massacre, The (1974)","Birds, The (1963)",Dracula (1931),Misery (1990),Eraserhead (1977),Poltergeist (1982)
Somewhere in Time (1980),Somewhere in Time (1980),"Karate Kid, The (1984)","Way We Were, The (1973)",Splash (1984),Mr. Mom (1983),About Last Night... (1986),"Goodbye Girl, The (1977)",Airport (1970),"Razor's Edge, The (1984)","Flamingo Kid, The (1984)"
Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision (1994),Mo' Better Blues (1990),Audrey Rose (1977),Prick Up Your Ears (1987),Mystery Train (1989),"Hot Spot, The (1990)",Beloved (1998),Passion Fish (1992),Hideous Kinky (1998),Onegin (1999)
Some Kind of Wonderful (1987),Some Kind of Wonderful (1987),Pretty in Pink (1986),Benny & Joon (1993),Lucas (1986),And God Created Woman (1988),Splash (1984),Peggy Sue Got Married (1986),Say Anything... (1989),St. Elmo's Fire (1985),When Harry Met Sally... (1989)
Something Wicked This Way Comes (1983),Something Wicked This Way Comes (1983),"Howling, The (1980)",Cujo (1983),"Fog, The (1980)","Texas Chainsaw Massacre, The (1974)",King Kong (1976),"Omen, The (1976)",Phantasm (1979),Halloween (1978),Carrie (1976)
I Shot Andy Warhol (1996),I Shot Andy Warhol (1996),Basquiat (1996),Hideous Kinky (1998),Smoke (1995),Pink Flamingos (1972),Love and a .45 (1994),Deconstructing Harry (1997),Henry Fool (1997),American Buffalo (1996),Mrs. Parker and the Vicious Circle (1994)
Waiting for Guffman (1996),Waiting for Guffman (1996),"Spanish Prisoner, The (1997)",Ed Wood (1994),Heathers (1989),Swingers (1996),Crumb (1994),Rushmore (1998),Short Cuts (1993),Bob Roberts (1992),Metropolitan (1990)
"End of the Affair, The (1999)","End of the Affair, The (1999)","Wedding Gift, The (1994)",Edge of Seventeen (1998),To Die For (1995),Basic Instinct (1992),Marvin's Room (1996),Office Killer (1997),In the Name of the Father (1993),Michael Collins (1996),"Crying Game, The (1992)"
Holy Smoke (1999),Holy Smoke (1999),Hideous Kinky (1998),Oxygen (1999),Black and White (1999),Mo' Better Blues (1990),Surviving Picasso (1996),My Own Private Idaho (1991),Basquiat (1996),"Last Days of Disco, The (1998)",Jonah Who Will Be 25 in the Year 2000 (1976)
SubUrbia (1997),SubUrbia (1997),Glory Daze (1996),Coldblooded (1995),"Myth of Fingerprints, The (1997)",BASEketball (1998),Kicking and Screaming (1995),Four Rooms (1995),Safe Men (1998),"Pallbearer, The (1996)","Suburbans, The (1999)"
Basquiat (1996),Basquiat (1996),Trees Lounge (1996),I Shot Andy Warhol (1996),My Own Private Idaho (1991),Smoke (1995),He Got Game (1998),Indecent Proposal (1993),Eve's Bayou (1997),Kids (1995),"Basketball Diaries, The (1995)"
My Own Private Idaho (1991),My Own Private Idaho (1991),Basquiat (1996),Mrs. Parker and the Vicious Circle (1994),Hurlyburly (1998),Edge of Seventeen (1998),I Shot Andy Warhol (1996),Permanent Midnight (1998),"People vs. Larry Flynt, The (1996)",Hideous Kinky (1998),"Secret Adventures of Tom Thumb, The (1993)"
Stand and Deliver (1987),Stand and Deliver (1987),Pretty in Pink (1986),"Karate Kid, The (1984)",Terms of Endearment (1983),Raging Bull (1980),Quiz Show (1994),Sixteen Candles (1984),Awakenings (1990),Do the Right Thing (1989),"Color of Money, The (1986)"
Permanent Midnight (1998),Permanent Midnight (1998),Violets Are Blue... (1986),Kurt & Courtney (1998),Normal Life (1996),Office Killer (1997),"Pallbearer, The (1996)",Nightmares (1983),Return to Paradise (1998),"Myth of Fingerprints, The (1997)",Nadja (1994)
Seven Years in Tibet (1997),Seven Years in Tibet (1997),Basic Instinct (1992),JFK (1991),Philadelphia (1993),Swing Kids (1993),Rob Roy (1995),Dances with Wolves (1990),Saving Private Ryan (1998),Heaven & Earth (1993),Jerry Maguire (1996)
Kiss the Girls (1997),Kiss the Girls (1997),Ransom (1996),Primal Fear (1996),Copycat (1995),Desperate Measures (1998),"Devil's Advocate, The (1997)",True Crime (1999),Murder at 1600 (1997),"Saint, The (1997)","Negotiator, The (1998)"
200 Cigarettes (1999),200 Cigarettes (1999),Addams Family Values (1993),"Road to Wellville, The (1994)","Associate, The (1996)",Public Access (1993),Fear and Loathing in Las Vegas (1998),Lethal Weapon 4 (1998),"Fan, The (1996)",Indecent Proposal (1993),Dog Park (1998)
Agnes of God (1985),Agnes of God (1985),Places in the Heart (1984),My Bodyguard (1980),Children of a Lesser God (1986),Ordinary People (1980),Heartburn (1986),Airport (1970),Shadowlands (1993),"Elephant Man, The (1980)",Terms of Endearment (1983)
Snow Falling on Cedars (1999),Snow Falling on Cedars (1999),Out of Africa (1985),"Talented Mr. Ripley, The (1999)",Erin Brockovich (2000),Gladiator (2000),Lone Star (1996),Shakespeare in Love (1998),Frequency (2000),Catfish in Black Bean Sauce (2000),Stir of Echoes (1999)
"Color of Money, The (1986)","Color of Money, The (1986)","Karate Kid, The (1984)","Natural, The (1984)",Philadelphia (1993),On Golden Pond (1981),Tin Men (1987),Mr. Mom (1983),"Good Morning, Vietnam (1987)","Right Stuff, The (1983)","Untouchables, The (1987)"
"King and I, The (1956)","King and I, The (1956)",My Fair Lady (1964),Oliver! (1968),Gigi (1958),"Sound of Music, The (1965)",South Pacific (1958),Peter Pan (1953),Cinderella (1950),Funny Face (1957),Snow White and the Seven Dwarfs (1937)
"Apostle, The (1997)","Apostle, The (1997)",Dead Man Walking (1995),Sling Blade (1996),GoodFellas (1990),What's Eating Gilbert Grape (1993),Gandhi (1982),Fargo (1996),Big Night (1996),Edward Scissorhands (1990),Awakenings (1990)
Smoke Signals (1998),Smoke Signals (1998),"Full Monty, The (1997)",Heathers (1989),Clueless (1995),"Opposite of Sex, The (1998)","Fisher King, The (1991)",Ed Wood (1994),Searching for Bobby Fischer (1993),Lone Star (1996),Bulworth (1998)
Mystery Train (1989),Mystery Train (1989),Down by Law (1986),She's Gotta Have It (1986),Harold and Maude (1971),"Paris, Texas (1984)",Crimes and Misdemeanors (1989),Living in Oblivion (1995),Blue Velvet (1986),I Shot Andy Warhol (1996),"Thin Blue Line, The (1988)"
Twin Falls Idaho (1999),Twin Falls Idaho (1999),"Good Mother, The (1988)",Hollow Reed (1996),Cronos (1992),Avalanche (1978),"Winter Guest, The (1997)","Velocity of Gary, The (1998)",Faithful (1996),Different for Girls (1996),I Married A Strange Person (1997)
Kurt & Courtney (1998),Kurt & Courtney (1998),"Suburbans, The (1999)",Underworld (1997),Sour Grapes (1998),Safe Men (1998),"Niagara, Niagara (1997)",Violets Are Blue... (1986),Coldblooded (1995),Permanent Midnight (1998),"Last Time I Committed Suicide, The (1997)"
Hideous Kinky (1998),Hideous Kinky (1998),Holy Smoke (1999),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),I Shot Andy Warhol (1996),Mrs. Parker and the Vicious Circle (1994),Surviving Picasso (1996),"Secret Adventures of Tom Thumb, The (1993)",Three Seasons (1999),Dancing at Lughnasa (1998)
Everest (1998),Everest (1998),Kurt & Courtney (1998),Dancing at Lughnasa (1998),One Magic Christmas (1985),"Big One, The (1997)",Love and a .45 (1994),Hideous Kinky (1998),Desert Bloom (1986),Little Buddha (1993),When We Were Kings (1996)
Buena Vista Social Club (1999),Buena Vista Social Club (1999),Love and a .45 (1994),Crumb (1994),I Shot Andy Warhol (1996),Surviving Picasso (1996),Shakes the Clown (1991),Once Upon a Time in the West (1969),Smoke (1995),Mystery Train (1989),Hideous Kinky (1998)
Midnight Cowboy (1969),Midnight Cowboy (1969),Five Easy Pieces (1970),"Hustler, The (1961)",On the Waterfront (1954),Bonnie and Clyde (1967),Raging Bull (1980),Taxi Driver (1976),"Deer Hunter, The (1978)",Network (1976),Serpico (1973)
Fear and Loathing in Las Vegas (1998),Fear and Loathing in Las Vegas (1998),"Doors, The (1991)",Natural Born Killers (1994),So I Married an Axe Murderer (1993),"Big Lebowski, The (1998)",Basic Instinct (1992),"Nightmare Before Christmas, The (1993)",Swingers (1996),Bad Lieutenant (1992),"Cable Guy, The (1996)"
Angel Heart (1987),Angel Heart (1987),Blade Runner (1982),"Hidden, The (1987)",Dead Ringers (1988),Blue Velvet (1986),Reservoir Dogs (1992),Deliverance (1972),Gremlins (1984),Eraserhead (1977),Blood Simple (1984)
Nell (1994),Nell (1994),Dangerous Minds (1995),It Could Happen to You (1994),Blink (1994),To Gillian on Her 37th Birthday (1996),Hero (1992),Mulholland Falls (1996),Don Juan DeMarco (1995),Marvin's Room (1996),"Truth About Cats & Dogs, The (1996)"
"Piano, The (1993)","Piano, The (1993)","English Patient, The (1996)",Leaving Las Vegas (1995),Philadelphia (1993),Sommersby (1993),Don Juan DeMarco (1995),Four Weddings and a Funeral (1994),"People vs. Larry Flynt, The (1996)",Fried Green Tomatoes (1991),Smoke (1995)
To Die For (1995),To Die For (1995),"Opposite of Sex, The (1998)",True Romance (1993),Wag the Dog (1997),Ed Wood (1994),"People vs. Larry Flynt, The (1996)",In the Line of Fire (1993),"Sweet Hereafter, The (1997)",Bullets Over Broadway (1994),Boogie Nights (1997)
Surviving Picasso (1996),Surviving Picasso (1996),Surf Nazis Must Die (1987),Penitentiary II (1982),Hideous Kinky (1998),"Tomb of Ligeia, The (1965)","Grass Harp, The (1995)","Alarmist, The (1997)",Native Son (1986),Heaven (1998),Silent Fall (1994)
Yellow Submarine (1968),Yellow Submarine (1968),Charlotte's Web (1973),Bambi (1942),"Doors, The (1991)",Winnie the Pooh and the Blustery Day (1968),"Sound of Music, The (1965)",Little Shop of Horrors (1986),Willy Wonka and the Chocolate Factory (1971),Popeye (1980),Fantasia (1940)
Gremlins (1984),Gremlins (1984),Back to the Future Part II (1989),Ghostbusters II (1989),Ghostbusters (1984),"Shining, The (1980)",Friday the 13th (1980),Poltergeist (1982),Scrooged (1988),Little Shop of Horrors (1986),Pet Sematary (1989)
South Pacific (1958),South Pacific (1958),My Fair Lady (1964),"King and I, The (1956)",West Side Story (1961),Oliver! (1968),Gypsy (1962),Holiday Inn (1942),Singin' in the Rain (1952),All That Jazz (1979),Cabaret (1972)
Wonderland (1999),Wonderland (1999),Margaret's Museum (1995),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Hideous Kinky (1998),Cabin Boy (1994),Committed (2000),"Secret Adventures of Tom Thumb, The (1993)",Ridicule (1996),Safe (1995)
"Last Temptation of Christ, The (1988)","Last Temptation of Christ, The (1988)",Glengarry Glen Ross (1992),Basic Instinct (1992),"Great Santini, The (1979)",Dangerous Liaisons (1988),Platoon (1986),Raging Bull (1980),Blue Velvet (1986),My Bodyguard (1980),"Doors, The (1991)"
Kalifornia (1993),Kalifornia (1993),Romeo Is Bleeding (1993),Red Rock West (1992),Cape Fear (1991),Dolores Claiborne (1994),Reservoir Dogs (1992),Casino (1995),Carlito's Way (1993),Basic Instinct (1992),True Romance (1993)
Steel Magnolias (1989),Steel Magnolias (1989),Footloose (1984),What About Bob? (1991),Splash (1984),Mommie Dearest (1981),Terms of Endearment (1983),Dirty Dancing (1987),Sleepless in Seattle (1993),"Client, The (1994)",Fried Green Tomatoes (1991)
