"title";"uri";"id";"uri_data_http://dbpedia.org/ontology/releaseDate";"uri_data_http://dbpedia.org/ontology/Work/runtime";"uri_data_http://dbpedia.org/ontology/wikiPageRevisionID";"uri_data_http://dbpedia.org/ontology/runtime";"uri_data_http://dbpedia.org/ontology/budget";"uri_data_http://dbpedia.org/ontology/wikiPageID";"uri_data_http://dbpedia.org/ontology/gross"
"Breaks, The (1999)";"http://dbpedia.org/resource/The_Breaks_(film)";2508.0;;86.0;5.87705849E8;5160.0;;1.0651946E7;
"Breakfast of Champions (1999)";"http://dbpedia.org/resource/Breakfast_of_Champions_(film)";2507.0;;110.0;6.03679399E8;6600.0;1.2E7;3210646.0;178278.0
"Moonraker (1979)";"http://dbpedia.org/resource/Moonraker_(film)";3638.0;;126.0;6.02012487E8;7560.0;3.4E7;6446062.0;2.103E8
"Other Sister, The (1999)";"http://dbpedia.org/resource/The_Other_Sister";2506.0;2/26/99 12:00 AM;129.0;6.0665412E8;7740.0;3.5E7;6954370.0;2.7807627E7
"Man with the Golden Gun, The (1974)";"http://dbpedia.org/resource/The_Man_with_the_Golden_Gun_(film)";3639.0;;125.0;6.04467635E8;7500.0;7000000.0;6223567.0;9.85E7
"8MM (1999)";"http://dbpedia.org/resource/8mm_(film)";2505.0;;123.0;6.0583041E8;7380.0;4.0E7;1364770.0;9.6618699E7
"Eight Days a Week (1997)";"http://dbpedia.org/resource/Eight_Days_a_Week_(film)";2509.0;;92.0;5.54142169E8;5520.0;;6039456.0;
"Monsieur Verdoux (1947)";"http://dbpedia.org/resource/Monsieur_Verdoux";3632.0;;124.0;5.96285149E8;7440.0;;545615.0;1500000.0
"Jawbreaker (1999)";"http://dbpedia.org/resource/Jawbreaker_(film)";2500.0;;87.0;6.04759758E8;5220.0;3500000.0;3583342.0;3117085.0
"On Her Majesty's Secret Service (1969)";"http://dbpedia.org/resource/On_Her_Majesty's_Secret_Service_(film)";3633.0;;140.0;6.0671749E8;8400.0;7000000.0;6268880.0;6.46E7
"It's in the Water (1998)";"http://dbpedia.org/resource/It's_in_the_Water";3631.0;;100.0;5.82736718E8;6000.0;;6386227.0;
"200 Cigarettes (1999)";"http://dbpedia.org/resource/200_Cigarettes";2504.0;;101.0;6.02908183E8;6060.0;6000000.0;677920.0;6852450.0
"Seven Days in May (1964)";"http://dbpedia.org/resource/Seven_Days_in_May";3634.0;2/12/64 12:00 AM;118.0;6.0415724E8;7080.0;2200000.0;297431.0;3650000.0
"Office Space (1999)";"http://dbpedia.org/resource/Office_Space";2502.0;;85.0;5.97970781E8;5100.0;1.0E7;95953.0;1.2827813E7
"Spy Who Loved Me, The (1977)";"http://dbpedia.org/resource/The_Spy_Who_Loved_Me_(film)";3635.0;;125.0;6.03716017E8;7500.0;1.4E7;6446036.0;1.854E8
"October Sky (1999)";"http://dbpedia.org/resource/October_Sky";2501.0;;108.0;6.06270125E8;6480.0;2.5E7;1110047.0;3.46758E7
"American Gigolo (1980)";"http://dbpedia.org/resource/American_Gigolo";3649.0;2/8/80 12:00 AM;117.0;6.01447816E8;7020.0;4800000.0;667194.0;2.2743674E7
"Christine (1983)";"http://dbpedia.org/resource/Christine_(1983_film)";2517.0;;110.0;6.06285853E8;6600.0;9700000.0;2071077.0;2.1017849E7
"House on Haunted Hill (1958)";"http://dbpedia.org/resource/House_on_Haunted_Hill";2519.0;2/17/59 12:00 AM;75.0;6.05784052E8;4500.0;200000.0;628843.0;1500000.0
"Night Shift (1982)";"http://dbpedia.org/resource/Night_Shift_(film)";2518.0;7/30/82 12:00 AM;105.0;6.05857734E8;6300.0;;533767.0;2.36E7
"In Old California (1942)";"http://dbpedia.org/resource/In_Old_California_(1942_film)";3642.0;;88.0;5.96119951E8;5280.0;;1.2189457E7;
"Fighting Seabees, The (1944)";"http://dbpedia.org/resource/The_Fighting_Seabees";3643.0;;100.0;6.03208269E8;6000.0;1500000.0;1188721.0;
"Long Goodbye, The (1973)";"http://dbpedia.org/resource/The_Long_Goodbye_(film)";2511.0;;112.0;6.05813744E8;6720.0;1700000.0;3624815.0;
"Dark Command (1940)";"http://dbpedia.org/resource/Dark_Command";3644.0;4/15/40 12:00 AM;94.0;6.00402987E8;5640.0;750000.0;5263902.0;
"Just the Ticket (1999)";"http://dbpedia.org/resource/Just_the_Ticket";2510.0;2/26/99 12:00 AM;115.0;5.98912261E8;6900.0;1.2E7;7811236.0;430404.0
"Pet Sematary (1989)";"http://dbpedia.org/resource/Pet_Sematary_(film)";2513.0;;103.0;6.01536336E8;6180.0;1.15E7;5018573.0;5.7469179E7
"Big Momma's House (2000)";"http://dbpedia.org/resource/Big_Momma's_House";3646.0;;98.0;6.06540067E8;5880.0;3.0E7;4.0594612E7;1.73959438E8
"Running Free (2000)";"http://dbpedia.org/resource/Running_Free_(film)";3647.0;6/2/00 12:00 AM;;5.85144024E8;;;2.364597E7;
"Children of the Corn II: The Final Sacrifice (1993)";"http://dbpedia.org/resource/Children_of_the_Corn_II:_The_Final_Sacrifice";2515.0;10/21/92 12:00 AM;94.0;5.96411094E8;5640.0;900000.0;2821897.0;6980986.0
"Abominable Snowman, The (1957)";"http://dbpedia.org/resource/The_Abominable_Snowman_(film)";3648.0;;91.0;5.88076082E8;5460.0;;4069518.0;
"Pet Sematary II (1992)";"http://dbpedia.org/resource/Pet_Sematary_Two";2514.0;;100.0;6.00417141E8;6000.0;8000000.0;2995876.0;1.7092453E7
"Puppet Master III: Toulon's Revenge (1991)";"http://dbpedia.org/resource/Puppet_Master_III:_Toulon's_Revenge";3662.0;;86.0;5.81438575E8;5160.0;800000.0;7153704.0;
"Puppet Master II (1990)";"http://dbpedia.org/resource/Puppet_Master_II";3661.0;;88.0;6.05419633E8;5280.0;780000.0;7153190.0;
"Puppet Master (1989)";"http://dbpedia.org/resource/Puppet_Master_(film)";3660.0;;90.0;5.9093286E8;5400.0;400000.0;1347325.0;
"Planet of the Apes (1968)";"http://dbpedia.org/resource/Planet_of_the_Apes_(1968_film)";2529.0;;112.0;6.06711361E8;6720.0;5799157.0;1.8618306E7;3.2589624E7
"Logan's Run (1976)";"http://dbpedia.org/resource/Logan's_Run_(film)";2528.0;;119.0;6.05771937E8;7140.0;9000000.0;5871867.0;2.5E7
"Westworld (1973)";"http://dbpedia.org/resource/Westworld";2527.0;;88.0;6.0603504E8;5280.0;;464189.0;4000000.0
"Quatermass and the Pit (1967)";"http://dbpedia.org/resource/Quatermass_and_the_Pit_(film)";3658.0;;97.0;6.00951371E8;5820.0;275000.0;871066.0;
"Meteor (1979)";"http://dbpedia.org/resource/Meteor_(film)";2526.0;;107.0;5.99505732E8;6420.0;1.6E7;1030073.0;8400000.0
"Alligator (1980)";"http://dbpedia.org/resource/Alligator_(film)";2525.0;;90.0;6.0297533E8;5400.0;1750000.0;4946798.0;6459000.0
"Lured (1947)";"http://dbpedia.org/resource/Lured";3656.0;;102.0;6.00943399E8;6120.0;;8202158.0;
"Towering Inferno, The (1974)";"http://dbpedia.org/resource/The_Towering_Inferno";2524.0;12/14/74 12:00 AM;165.0;6.02186488E8;9900.0;1.4265E7;101910.0;1.397E8
"Pandora and the Flying Dutchman (1951)";"http://dbpedia.org/resource/Pandora_and_the_Flying_Dutchman";3657.0;10/15/51 12:00 AM;122.0;5.89877352E8;7320.0;1250000.0;717281.0;1601000.0
"Rollercoaster (1977)";"http://dbpedia.org/resource/Rollercoaster_(1977_film)";2523.0;6/10/77 12:00 AM;119.0;6.02145645E8;7140.0;9000000.0;1969089.0;
"Guns of Navarone, The (1961)";"http://dbpedia.org/resource/The_Guns_of_Navarone_(film)";3654.0;;158.0;6.06764526E8;9480.0;6000000.0;6984559.0;2.89E7
"Airport '77 (1977)";"http://dbpedia.org/resource/Airport_'77";2522.0;3/11/77 12:00 AM;113.0;6.00916756E8;6780.0;6000000.0;1076567.0;3.0E7
"Airport 1975 (1974)";"http://dbpedia.org/resource/Airport_1975";2521.0;;106.0;6.02974747E8;6360.0;3000000.0;2159529.0;4.7285152E7
"Airport (1970)";"http://dbpedia.org/resource/Airport_(1970_film)";2520.0;3/5/70 12:00 AM;137.0;6.05992862E8;8220.0;1.02E7;99459.0;1.00489151E8
"Endless Summer, The (1966)";"http://dbpedia.org/resource/The_Endless_Summer";3653.0;6/15/66 12:00 AM;95.0;6.05356159E8;5700.0;;165333.0;5000000.0
"Blazing Saddles (1974)";"http://dbpedia.org/resource/Blazing_Saddles";3671.0;;95.0;6.06525107E8;5700.0;2600000.0;3837.0;1.195E8
"Story of G.I. Joe, The (1945)";"http://dbpedia.org/resource/The_Story_of_G.I._Joe";3670.0;6/18/45 12:00 AM;108.0;5.94403675E8;6480.0;;1076789.0;
"Benji the Hunted (1987)";"http://dbpedia.org/resource/Benji_the_Hunted";3673.0;;88.0;5.9960734E8;5280.0;;4513177.0;2.2257624E7
"Benji (1974)";"http://dbpedia.org/resource/Benji_(1974_film)";3672.0;;85.0;6.02819542E8;5100.0;500000.0;1.1265801E7;4.5E7
"Corruptor, The (1999)";"http://dbpedia.org/resource/The_Corruptor";2540.0;;110.0;6.06651647E8;6600.0;2.5E7;528069.0;1.51562E7
"Analyze This (1999)";"http://dbpedia.org/resource/Analyze_This";2539.0;3/5/99 12:00 AM;103.0;6.00098671E8;6180.0;8.0E7;945029.0;1.76885658E8
"Dancemaker (1998)";"http://dbpedia.org/resource/Dancemaker";2538.0;;98.0;5.8576636E8;5880.0;;2.0338652E7;
"Rent-A-Cop (1988)";"http://dbpedia.org/resource/Rent-a-Cop";3667.0;;;5.926907E8;;;4.1761631E7;
"Earthquake (1974)";"http://dbpedia.org/resource/Earthquake_(film)";2535.0;;121.0;6.00648021E8;7260.0;7000000.0;515217.0;7.9666653E7
"Romeo and Juliet (1968)";"http://dbpedia.org/resource/Romeo_and_Juliet_(1968_film)";3668.0;10/8/68 12:00 AM;138.0;6.06024575E8;8280.0;850000.0;99025.0;3.8901218E7
"Avalanche (1978)";"http://dbpedia.org/resource/Avalanche_(1978_film)";2534.0;8/30/78 12:00 AM;91.0;5.93685514E8;5460.0;6500000.0;2.4977211E7;
"Stay Tuned (1992)";"http://dbpedia.org/resource/Stay_Tuned_(film)";3669.0;8/14/92 12:00 AM;88.0;6.00489804E8;5280.0;;1673495.0;1.0736401E7
"Beyond the Poseidon Adventure (1979)";"http://dbpedia.org/resource/Beyond_the_Poseidon_Adventure";2537.0;;114.0;6.03488156E8;6840.0;;2900798.0;
"Puppet Master 4 (1993)";"http://dbpedia.org/resource/Puppet_Master_4";3663.0;;79.0;6.06642709E8;4740.0;;7153837.0;
"Battle for the Planet of the Apes (1973)";"http://dbpedia.org/resource/Battle_for_the_Planet_of_the_Apes";2531.0;;93.0;6.03457161E8;5580.0;1710000.0;709860.0;8844595.0
"Puppet Master 5: The Final Chapter (1994)";"http://dbpedia.org/resource/Puppet_Master_5:_The_Final_Chapter";3664.0;;82.0;5.87312145E8;4920.0;;7153927.0;
"Beneath the Planet of the Apes (1970)";"http://dbpedia.org/resource/Beneath_the_Planet_of_the_Apes";2530.0;;95.0;6.06712824E8;5700.0;4675000.0;152058.0;1.8999718E7
"Curse of the Puppet Master (1998)";"http://dbpedia.org/resource/Curse_of_the_Puppet_Master";3665.0;;90.0;6.06657424E8;5400.0;250000.0;7154010.0;
"Escape from the Planet of the Apes (1971)";"http://dbpedia.org/resource/Escape_from_the_Planet_of_the_Apes";2533.0;;98.0;6.06770113E8;5880.0;2060000.0;303928.0;1.2348905E7
"Conquest of the Planet of the Apes (1972)";"http://dbpedia.org/resource/Conquest_of_the_Planet_of_the_Apes";2532.0;;88.0;5.92778425E8;5280.0;1700000.0;657159.0;9700000.0
"American Pop (1981)";"http://dbpedia.org/resource/American_Pop";3725.0;;96.0;6.01421097E8;5760.0;;2040976.0;6000000.0
"Wilde (1997)";"http://dbpedia.org/resource/Wilde_(film)";2437.0;;118.0;6.06061075E8;7080.0;;1191380.0;2158775.0
"Coming Home (1978)";"http://dbpedia.org/resource/Coming_Home_(1978_film)";3724.0;;126.0;6.03849368E8;7560.0;3000000.0;103011.0;3.2653905E7
"Outside Ozona (1998)";"http://dbpedia.org/resource/Outside_Ozona";2438.0;;100.0;5.87973864E8;6000.0;;6190765.0;
"Hamlet (1990)";"http://dbpedia.org/resource/Hamlet_(1990_film)";3723.0;12/19/90 12:00 AM;134.0;5.96318156E8;8040.0;;101401.0;2.0710451E7
"Hurlyburly (1998)";"http://dbpedia.org/resource/Hurlyburly_(film)";2435.0;12/25/98 12:00 AM;122.0;5.72195138E8;7320.0;6000000.0;1.5120787E7;1798862.0
"Tea with Mussolini (1999)";"http://dbpedia.org/resource/Tea_with_Mussolini";2436.0;3/26/99 12:00 AM;117.0;5.99917402E8;7020.0;1.2E7;947450.0;4.55662E7
"Trixie (1999)";"http://dbpedia.org/resource/Trixie_(film)";3721.0;6/28/00 12:00 AM;116.0;6.01360774E8;6960.0;2.0E7;2082089.0;295683.0
"Sunshine (1999)";"http://dbpedia.org/resource/Sunshine_(1999_film)";3720.0;;181.0;6.06655469E8;10860.0;;4413065.0;
"Down in the Delta (1998)";"http://dbpedia.org/resource/Down_in_the_Delta";2434.0;;112.0;6.04658418E8;6720.0;;7847214.0;5672903.0
"Patch Adams (1998)";"http://dbpedia.org/resource/Patch_Adams_(film)";2431.0;;115.0;6.03438217E8;6900.0;9.0E7;1231877.0;2.02292902E8
"Stepmom (1998)";"http://dbpedia.org/resource/Stepmom_(film)";2432.0;;125.0;6.05321171E8;7500.0;5.0E7;1632580.0;1.59710793E8
"Shaft (1971)";"http://dbpedia.org/resource/Shaft_(1971_film)";3729.0;;100.0;6.0366358E8;6000.0;500000.0;76345.0;1.3E7
"One False Move (1991)";"http://dbpedia.org/resource/One_False_Move";3728.0;5/8/92 12:00 AM;105.0;5.90719657E8;6300.0;;2711768.0;1543112.0
"Near Dark (1987)";"http://dbpedia.org/resource/Near_Dark";3727.0;;95.0;6.03624943E8;5700.0;5000000.0;1637470.0;3369307.0
"Affliction (1997)";"http://dbpedia.org/resource/Affliction_(film)";2439.0;;114.0;6.02555745E8;6840.0;6000000.0;171559.0;6330054.0
"Assault on Precinct 13 (1976)";"http://dbpedia.org/resource/Assault_on_Precinct_13_(1976_film)";3726.0;11/10/76 12:00 AM;91.0;6.0392108E8;5460.0;100000.0;1399119.0;
"Hi-Lo Country, The (1998)";"http://dbpedia.org/resource/The_Hi-Lo_Country";2441.0;;114.0;6.06658371E8;6840.0;;1.2501372E7;166082.0
"Another Day in Paradise (1998)";"http://dbpedia.org/resource/Another_Day_in_Paradise_(film)";2440.0;12/30/98 12:00 AM;101.0;5.80605718E8;6060.0;2000000.0;3377778.0;1036818.0
"Soapdish (1991)";"http://dbpedia.org/resource/Soapdish";3712.0;;93.0;6.060129E8;5580.0;;2354228.0;3.6489888E7
"You've Got Mail (1998)";"http://dbpedia.org/resource/You've_Got_Mail";2424.0;;119.0;6.04662581E8;7140.0;6.5E7;158982.0;2.50821495E8
"Sarafina! (1992)";"http://dbpedia.org/resource/Sarafina!_(film)";3711.0;9/18/92 12:00 AM;117.0;6.02964379E8;7020.0;;2.7736078E7;7306242.0
"General, The (1998)";"http://dbpedia.org/resource/The_General_(1998_film)";2425.0;12/18/98 12:00 AM;124.0;5.85861774E8;7440.0;;3643169.0;1214198.0
"Clara's Heart (1988)";"http://dbpedia.org/resource/Clara's_Heart";3714.0;10/7/88 12:00 AM;108.0;6.06764951E8;6480.0;;2058829.0;5194491.0
"Theory of Flight, The (1998)";"http://dbpedia.org/resource/The_Theory_of_Flight";2426.0;;101.0;6.03650558E8;6060.0;;1998039.0;
"Long Walk Home, The (1990)";"http://dbpedia.org/resource/The_Long_Walk_Home";3713.0;12/21/90 12:00 AM;97.0;6.02675117E8;5820.0;;9709480.0;4803039.0
"Thin Red Line, The (1998)";"http://dbpedia.org/resource/The_Thin_Red_Line_(1998_film)";2427.0;;171.0;6.05143216E8;10260.0;5.2E7;142465.0;9.8126565E7
"Karate Kid, The (1984)";"http://dbpedia.org/resource/The_Karate_Kid_(1984_film)";2420.0;;;5.94382878E8;;;4.1872767E7;
"Karate Kid, Part II, The (1986)";"http://dbpedia.org/resource/The_Karate_Kid,_Part_II";2421.0;6/20/86 12:00 AM;113.0;6.043086E8;6780.0;;1107088.0;1.15103979E8
"Action Jackson (1988)";"http://dbpedia.org/resource/Action_Jackson";3710.0;2/12/88 12:00 AM;96.0;5.9857742E8;5760.0;7000000.0;2069002.0;2.0256975E7
"Love's Labour's Lost (2000)";"http://dbpedia.org/resource/Love's_Labour's_Lost_(2000_film)";3719.0;3/31/00 12:00 AM;93.0;5.9194146E8;5580.0;1.3E7;296997.0;299792.0
"Fatal Beauty (1987)";"http://dbpedia.org/resource/Fatal_Beauty";3716.0;10/30/87 12:00 AM;104.0;6.00357987E8;6240.0;;7128210.0;1.2046526E7
"Faculty, The (1998)";"http://dbpedia.org/resource/The_Faculty";2428.0;;104.0;6.06739565E8;6240.0;1.5E7;308430.0;4.0283321E7
"Burglar (1987)";"http://dbpedia.org/resource/Burglar_(film)";3715.0;3/20/87 12:00 AM;103.0;5.93378827E8;6180.0;;5943254.0;1.6357355E7
"Mighty Joe Young (1998)";"http://dbpedia.org/resource/Mighty_Joe_Young_(1998_film)";2429.0;12/25/98 12:00 AM;114.0;6.05563151E8;6840.0;9.0E7;6121312.0;5.0632037E7
"American Pimp (1999)";"http://dbpedia.org/resource/American_Pimp";3718.0;;87.0;6.04588665E8;5220.0;;1838082.0;
"Gone in 60 Seconds (2000)";"http://dbpedia.org/resource/Gone_in_60_Seconds_(2000_film)";3717.0;6/9/00 12:00 AM;118.0;6.06275007E8;7080.0;9.0E7;883432.0;2.37202298E8
"Mighty Joe Young (1949)";"http://dbpedia.org/resource/Mighty_Joe_Young_(1949_film)";2430.0;7/27/49 12:00 AM;94.0;6.05168655E8;5640.0;1800000.0;1621292.0;
"Boys and Girls (2000)";"http://dbpedia.org/resource/Boys_and_Girls_(2000_film)";3743.0;6/16/00 12:00 AM;94.0;6.01714745E8;5640.0;3.5E7;4132529.0;2.5850615E7
"Fly, The (1986)";"http://dbpedia.org/resource/The_Fly_(1986_film)";2455.0;;96.0;6.06770538E8;5760.0;9000000.0;456601.0;6.0629159E7
"Fly II, The (1989)";"http://dbpedia.org/resource/The_Fly_II";2456.0;;105.0;6.00281276E8;6300.0;;692739.0;3.8903179E7
"Badlands (1973)";"http://dbpedia.org/resource/Badlands_(film)";3741.0;10/15/73 12:00 AM;95.0;6.06384977E8;5700.0;500000.0;68130.0;
"Boy Who Could Fly, The (1986)";"http://dbpedia.org/resource/The_Boy_Who_Could_Fly";2453.0;8/15/86 12:00 AM;114.0;6.05527216E8;6840.0;9000000.0;2180950.0;7177431.0
"Big Trouble in Little China (1986)";"http://dbpedia.org/resource/Big_Trouble_in_Little_China";3740.0;;99.0;6.06678139E8;5940.0;2.0E7;697113.0;1.11E7
"Fly, The (1958)";"http://dbpedia.org/resource/The_Fly_(1958_film)";2454.0;8/29/58 12:00 AM;94.0;6.00281359E8;5640.0;495000.0;553101.0;3000000.0
"Jesus' Son (1999)";"http://dbpedia.org/resource/Jesus'_Son";3747.0;;107.0;5.72598174E8;6420.0;2500000.0;2345088.0;1302067.0
"Texas Chainsaw Massacre, The (1974)";"http://dbpedia.org/resource/The_Texas_Chainsaw_Massacre_(2003_film)";2459.0;;98.0;6.06210481E8;5880.0;9500000.0;3231682.0;1.07071655E8
"Titan A.E. (2000)";"http://dbpedia.org/resource/Titan_A.E.";3745.0;6/16/00 12:00 AM;94.0;6.04045768E8;5640.0;7.5E7;742453.0;3.6754634E7
"Running Scared (1986)";"http://dbpedia.org/resource/Running_Scared_(1986_film)";2457.0;6/27/86 12:00 AM;107.0;5.95225984E8;6420.0;;2056500.0;3.8500726E7
"Shaft (2000)";"http://dbpedia.org/resource/Shaft_(2000_film)";3744.0;;99.0;6.0602762E8;5940.0;4.6E7;973155.0;1.07196498E8
"Armed and Dangerous (1986)";"http://dbpedia.org/resource/Armed_and_Dangerous_(film)";2458.0;;88.0;6.03255114E8;5280.0;;846311.0;1.5945534E7
"Ruthless People (1986)";"http://dbpedia.org/resource/Ruthless_People";2463.0;6/27/86 12:00 AM;93.0;6.05967138E8;5580.0;9000000.0;680337.0;7.1233101E7
"Leatherface: Texas Chainsaw Massacre III (1990)";"http://dbpedia.org/resource/Leatherface:_The_Texas_Chainsaw_Massacre_III";2461.0;;;6.02401401E8;;2000000.0;2609817.0;5765562.0
"Texas Chainsaw Massacre 2, The (1986)";"http://dbpedia.org/resource/The_Texas_Chainsaw_Massacre_2";2460.0;8/22/86 12:00 AM;101.0;6.03653152E8;5340.0;4700000.0;397753.0;8025872.0
"Conversation, The (1974)";"http://dbpedia.org/resource/The_Conversation";3730.0;4/7/74 12:00 AM;113.0;6.06286607E8;6780.0;1600000.0;66853.0;4420000.0
"Hilary and Jackie (1998)";"http://dbpedia.org/resource/Hilary_and_Jackie";2442.0;;;6.04814578E8;;;462749.0;4912892.0
"Playing by Heart (1998)";"http://dbpedia.org/resource/Playing_by_Heart";2443.0;;121.0;5.91418059E8;7260.0;1.4E7;924179.0;3970078.0
"Fury, The (1978)";"http://dbpedia.org/resource/The_Fury_(1978_film)";3732.0;;118.0;6.06680191E8;7080.0;7500000.0;3127557.0;2.4E7
"Cutter's Way (1981)";"http://dbpedia.org/resource/Cutter's_Way";3731.0;;105.0;6.041303E8;6300.0;3000000.0;4228260.0;1729274.0
"At First Sight (1999)";"http://dbpedia.org/resource/At_First_Sight";2445.0;;128.0;6.03255283E8;7680.0;6.0E7;2399430.0;2.2365133E7
"Prince of the City (1981)";"http://dbpedia.org/resource/Prince_of_the_City";3734.0;;167.0;6.00812039E8;10020.0;8600000.0;1353111.0;8124257.0
"In Dreams (1999)";"http://dbpedia.org/resource/In_Dreams_(film)";2446.0;1/15/99 12:00 AM;98.0;6.03904249E8;5880.0;3.0E7;2945187.0;1.2017369E7
"Paper Chase, The (1973)";"http://dbpedia.org/resource/The_Paper_Chase_(film)";3733.0;;111.0;6.05908443E8;6660.0;;9720148.0;3600000.0
"Varsity Blues (1999)";"http://dbpedia.org/resource/Varsity_Blues_(film)";2447.0;1/15/99 12:00 AM;106.0;6.05392439E8;6360.0;1.6E7;1693395.0;5.4294169E7
"Virus (1999)";"http://dbpedia.org/resource/Virus_(1999_film)";2448.0;;;5.98688435E8;;7.5E7;3296177.0;3.0652005E7
"Serpico (1973)";"http://dbpedia.org/resource/Serpico";3735.0;;130.0;6.02554327E8;7800.0;3000000.0;163459.0;2.98E7
"Garbage Pail Kids Movie, The (1987)";"http://dbpedia.org/resource/The_Garbage_Pail_Kids_Movie";2449.0;;97.0;6.05515045E8;5820.0;1000000.0;3756071.0;1576615.0
"Sugarland Express, The (1974)";"http://dbpedia.org/resource/The_Sugarland_Express";3738.0;;110.0;6.04472977E8;6600.0;3000000.0;1646113.0;1.28E7
"Lonely Are the Brave (1962)";"http://dbpedia.org/resource/Lonely_Are_the_Brave";3737.0;5/24/62 12:00 AM;107.0;6.0364329E8;6420.0;;2165590.0;
"Trouble in Paradise (1932)";"http://dbpedia.org/resource/Trouble_in_Paradise_(film)";3739.0;;83.0;6.02716125E8;4980.0;519706.0;76399.0;475000.0
"Howard the Duck (1986)";"http://dbpedia.org/resource/Howard_the_Duck_(film)";2450.0;;111.0;6.05358728E8;6660.0;3.7E7;6551171.0;3.7962774E7
"Gate II: Trespassers, The (1990)";"http://dbpedia.org/resource/The_Gate_II:_Trespassers";2452.0;;-93.0;5.95036821E8;-5580.0;;1.4696485E7;2032973.0
"Gate, The (1987)";"http://dbpedia.org/resource/The_Gate_(film)";2451.0;;85.0;6.06367795E8;5100.0;2500000.0;1010796.0;1.3539458E7
"Three Amigos! (1986)";"http://dbpedia.org/resource/Three_Amigos";2478.0;;;6.05188581E8;;;4.2548609E7;
"Firewalker (1986)";"http://dbpedia.org/resource/Firewalker_(film)";2477.0;;104.0;6.06198065E8;6240.0;;5638157.0;1.1834302E7
"Heartbreak Ridge (1986)";"http://dbpedia.org/resource/Heartbreak_Ridge";2476.0;12/5/86 12:00 AM;130.0;6.03438418E8;7800.0;1.5E7;1596524.0;1.217E8
"52 Pick-Up (1986)";"http://dbpedia.org/resource/52_Pick-Up";2475.0;;110.0;6.06579158E8;6600.0;;1468747.0;5186646.0
"She's All That (1999)";"http://dbpedia.org/resource/She's_All_That";2485.0;;97.0;6.04056642E8;5820.0;1.0E7;1051820.0;1.03166989E8
"Still Crazy (1998)";"http://dbpedia.org/resource/Still_Crazy";2482.0;;95.0;5.93768227E8;5700.0;1.4E7;2423947.0;524864.0
"My Name Is Joe (1998)";"http://dbpedia.org/resource/My_Name_Is_Joe";2481.0;11/20/98 12:00 AM;105.0;5.95701475E8;6300.0;;1430058.0;
"Peggy Sue Got Married (1986)";"http://dbpedia.org/resource/Peggy_Sue_Got_Married";2469.0;10/10/86 12:00 AM;104.0;6.0407034E8;6240.0;1.8E7;246559.0;4.1382841E7
"Jumpin' Jack Flash (1986)";"http://dbpedia.org/resource/Jumpin'_Jack_Flash_(film)";2468.0;;100.0;6.05859125E8;6000.0;1.8E7;3.0875502E7;2.9844101E7
"Deadly Friend (1986)";"http://dbpedia.org/resource/Deadly_Friend";2465.0;10/10/86 12:00 AM;91.0;6.06793561E8;5460.0;1.1E7;2249951.0;8988731.0
"Trick or Treat (1986)";"http://dbpedia.org/resource/Trick_or_Treat_(1986_film)";2464.0;10/24/86 12:00 AM;98.0;6.01617071E8;5880.0;;7212423.0;6797218.0
"Name of the Rose, The (1986)";"http://dbpedia.org/resource/The_Name_of_the_Rose_(film)";2467.0;;126.0;6.03927708E8;7560.0;1.85E7;5788437.0;7.7153487E7
"Belizaire the Cajun (1986)";"http://dbpedia.org/resource/Belizaire_the_Cajun";2466.0;;103.0;5.84457483E8;6180.0;;1.4411332E7;1142243.0
"Crocodile Dundee II (1988)";"http://dbpedia.org/resource/%22Crocodile%22_Dundee_II";2471.0;;108.0;6.06324886E8;6480.0;1.4E7;1118809.0;2.3960621E8
"Tough Guys (1986)";"http://dbpedia.org/resource/Tough_Guys";2472.0;10/3/86 12:00 AM;104.0;5.99629104E8;6240.0;1.8E7;2421463.0;2.1458229E7
"Color of Money, The (1986)";"http://dbpedia.org/resource/The_Color_of_Money";2474.0;;120.0;6.0535436E8;7200.0;1.38E7;168561.0;5.2293982E7
"Crocodile Dundee (1986)";"http://dbpedia.org/resource/%22Crocodile%22_Dundee";2470.0;;104.0;6.06595533E8;5820.0;8800000.0;331586.0;3.28203506E8
"Angel Heart (1987)";"http://dbpedia.org/resource/Angel_Heart";3706.0;3/6/87 12:00 AM;113.0;6.06163221E8;6780.0;1.7E7;673682.0;1.7185632E7
"Mad Max Beyond Thunderdome (1985)";"http://dbpedia.org/resource/Mad_Max_Beyond_Thunderdome";3704.0;;107.0;6.06714069E8;6420.0;1.2E7;598868.0;3.6230219E7
"Bird on a Wire (1990)";"http://dbpedia.org/resource/Bird_on_a_Wire_(film)";3705.0;5/18/90 12:00 AM;110.0;5.93699177E8;6600.0;2.0E7;4213204.0;1.38697012E8
"Firestarter (1984)";"http://dbpedia.org/resource/Firestarter_(film)";3708.0;;114.0;5.87171452E8;6840.0;1.3E7;1.6182808E7;1.7080167E7
"Sleepwalkers (1992)";"http://dbpedia.org/resource/Sleepwalkers_(film)";3709.0;4/10/92 12:00 AM;91.0;5.97269694E8;5460.0;1.5E7;4286886.0;3.0524763E7
"My Favorite Martian (1999)";"http://dbpedia.org/resource/My_Favorite_Martian_(film)";2498.0;;93.0;6.00187413E8;5580.0;6.5E7;7887331.0;3.6850101E7
